City,report_year,Education spending,Inter_Gov_Rev,Enrollment
STONINGTON,2015,37234199.0,5473746.0,2338.87
STRATFORD,2015,110427752.0,41072498.0,7322.59
SUFFIELD,2015,35848599.0,16357768.0,2278.4
THOMASTON,2015,15560482.0,8030707.0,1043.97
THOMPSON,2015,18736722.0,9980410.0,1060.6
TOLLAND,2015,41845358.0,16383122.0,2791.92
TORRINGTON,2015,76790078.0,34990554.0,4482.23
TRUMBULL,2015,111191120.0,18574675.0,6586.5
UNION,2015,2111063.0,604346.0,109.8
VERNON,2015,57008315.0,25776430.0,3582.12
VOLUNTOWN,2015,7048859.0,3594485.0,405.71
WALLINGFORD,2015,102504000.0,37190000.0,6232.64
WARREN,2015,3311693.0,139249.0,154.46
WASHINGTON,2015,9681272.0,472882.0,327.92
WATERBURY,2015,174838000.0,156592000.0,18235.87
WATERFORD,2015,50850012.0,9225639.0,2918.43
WATERTOWN,2015,44456479.0,18117139.0,2870.08
WEST HARTFORD,2015,162477000.0,41016000.0,10252.35
WEST HAVEN,2015,96506345.0,66698261.0,7081.46
WESTBROOK,2015,17767390.0,3016078.0,817.96
WESTON,2015,53337314.0,6815652.0,2389.28
WESTPORT,2015,125459324.0,4106375.0,5716.44
WETHERSFIELD,2015,61943559.0,16368042.0,3933.47
WILLINGTON,2015,12994977.0,5157470.0,678.4500000000002
WILTON,2015,86677283.0,11115023.0,4269.32
ANDOVER,2015,8576809.0,3019532.0,535.65
ANSONIA,2015,37029834.0,27853347.0,2585.1
ASHFORD,2015,11771983.0,5028901.0,597.72
AVON,2015,58148061.0,9442455.0,3325.72
BARKHAMSTED,2015,9432399.0,2206661.0,584.68
BEACON FALLS,2015,14614288.0,4574430.0,933.94
BERLIN,2015,47885291.0,12386029.0,3024.11
BETHANY,2015,16405008.0,3301310.0,884.97
BETHEL,2015,46517348.0,13385789.0,2879.53
BETHLEHEM,2015,6946134.0,1721757.0,382.92
BLOOMFIELD,2015,42712016.0,10539585.0,2244.11
BOLTON,2015,14768355.0,4981416.0,778.58
BOZRAH,2015,5857043.0,2091938.0,313.89
BRANFORD,2015,57416360.0,8421875.0,3183.23
BRIDGEPORT,2015,264104051.0,232665443.0,21095.81
BRIDGEWATER,2015,4686690.0,192390.0,145.3
BRISTOL,2015,104561451.0,67491132.0,8452.27
BROOKFIELD,2015,43046911.0,6750156.0,2756.13
BROOKLYN,2015,18539569.0,9729067.0,1205.71
BURLINGTON,2015,23670355.0,6043674.0,1675.28
CANAAN,2015,3216778.0,860748.0,111.1
CANTERBURY,2015,12296025.0,6430703.0,655.62
CANTON,2015,27426241.0,7136000.0,1659.42
CHAPLIN,2015,6331588.0,2854128.0,291.74
CHESHIRE,2015,74575158.0,25852837.0,4527.79
