City,report_year,Enrollment,FTE Count,Education spending,has_nulls
EAST WINDSOR,2009,1525.81,240.1,20760869.0,False
EAST WINDSOR,2010,1475.86,193.9,19351289.0,False
EAST WINDSOR,2011,1396.21,225.50000000000003,20522588.0,False
EAST WINDSOR,2012,1369.13,123.2,21503161.0,True
EAST WINDSOR,2013,1364.33,229.70000000000002,22517698.0,False
EAST WINDSOR,2014,1305.46,227.0,23072375.0,False
EAST WINDSOR,2015,1257.37,238.0,23299723.0,False
EAST WINDSOR,2016,1203.41,245.0,24287205.0,False
EASTFORD,2007,269.87,30.8,3445577.0,False
EASTFORD,2008,268.55,31.200000000000003,3519454.0,True
EASTFORD,2009,266.69,33.3,3829616.0,True
EASTFORD,2010,236.52,34.3,3745816.0,True
EASTFORD,2011,245.93,34.400000000000006,3819029.0,True
EASTFORD,2012,233.92,37.5,3756017.0,True
EASTFORD,2013,217.5,35.2,3864869.0,True
EASTFORD,2014,203.74,36.8,3854354.0,True
EASTFORD,2015,189.21,36.2,3946713.0,True
EASTFORD,2016,178.5,35.4,3987911.0,True
EASTON,2007,1567.88,364.3,21625026.0,False
EASTON,2008,1602.42,789.1000000000001,27632800.0,False
EASTON,2009,1590.04,394.0,24900625.0,False
EASTON,2010,1555.96,391.1,25004081.0,False
EASTON,2011,1553.24,382.8,25665283.0,False
EASTON,2012,1509.12,522.7,26784954.0,False
EASTON,2013,1478.84,368.69999999999993,27263689.0,False
EASTON,2014,1448.78,382.09999999999997,27304586.0,False
EASTON,2015,1417.46,365.6,27724507.0,False
EASTON,2016,1393.9,362.7,29448104.0,True
ELLINGTON,2007,2562.39,374.90000000000003,27133354.0,False
ELLINGTON,2008,2628.11,379.40000000000003,37596600.0,False
ELLINGTON,2009,2661.79,385.70000000000005,30967610.0,False
ELLINGTON,2010,2669.99,381.8,31017970.0,False
ELLINGTON,2011,2732.43,387.6,32365108.0,False
ELLINGTON,2012,2766.34,404.9000000000001,33773953.0,False
ELLINGTON,2013,2788.55,413.2,35342309.0,False
ELLINGTON,2014,2765.82,415.0,37658420.0,False
ELLINGTON,2015,2750.38,425.90000000000003,39195495.0,False
ELLINGTON,2016,2732.71,422.2,39371523.0,False
ENFIELD,2007,6584.14,953.1999999999999,72357000.0,False
ENFIELD,2008,6437.02,964.6999999999999,97560000.0,False
ENFIELD,2009,6398.82,926.3999999999997,73847000.0,False
ENFIELD,2010,6215.03,927.6999999999999,65002000.0,False
ENFIELD,2011,6051.6,811.7999999999998,70698000.0,False
ENFIELD,2012,5917.68,795.0,71140000.0,False
ENFIELD,2013,5766.68,814.6,73344000.0,False
ENFIELD,2014,5597.19,834.8000000000001,77039000.0,False
ENFIELD,2015,5555.28,842.2000000000002,73482000.0,False
ENFIELD,2016,5552.78,830.3,75996000.0,False
FAIRFIELD,2007,9495.94,1554.7999999999997,131280000.0,False
FAIRFIELD,2008,9768.72,1615.9999999999998,169304000.0,False
FAIRFIELD,2009,9956.92,1649.9999999999998,151011000.0,False
FAIRFIELD,2010,10114.33,1648.8999999999999,151473000.0,False
FAIRFIELD,2011,10211.77,1684.4,152992000.0,False
FAIRFIELD,2012,10314.03,1669.3,161132000.0,False
FAIRFIELD,2013,10321.89,1672.6,166241000.0,False
FAIRFIELD,2014,10303.84,1673.9,171991000.0,False
FAIRFIELD,2015,10255.04,1660.4,171906000.0,False
FAIRFIELD,2016,10125.97,1706.3999999999999,180029000.0,False
FARMINGTON,2007,4231.05,618.0999999999999,49756734.0,False
FARMINGTON,2008,4178.89,621.5000000000001,67005030.0,False
FARMINGTON,2009,4167.67,625.6999999999998,52626772.0,False
FARMINGTON,2010,4143.27,605.3000000000001,53821985.0,False
FARMINGTON,2011,4127.78,607.1999999999999,55572545.0,False
FARMINGTON,2012,4045.25,615.0999999999999,59898122.0,False
FARMINGTON,2013,4079.36,635.9,61514220.0,False
FARMINGTON,2014,4033.41,664.5,63908106.0,False
FARMINGTON,2015,4027.55,690.1999999999999,63453677.0,False
FARMINGTON,2016,4048.47,717.5,67188409.0,False
GLASTONBURY,2007,6930.83,995.4,74031222.0,False
GLASTONBURY,2008,7023.72,1035.7999999999997,108065783.0,False
GLASTONBURY,2009,7020.83,1042.6,83715229.0,False
GLASTONBURY,2010,6999.18,1024.6,92864175.0,False
GLASTONBURY,2011,6976.34,1024.9,95347354.0,False
GLASTONBURY,2012,6825.84,1038.1,99561559.0,False
GLASTONBURY,2013,6752.85,1061.3,101617744.0,False
GLASTONBURY,2014,6581.6,1056.0,106599514.0,False
GLASTONBURY,2015,6313.02,1024.1999999999998,107377221.0,False
GLASTONBURY,2016,6212.51,1062.5000000000002,110736179.0,False
GRANBY,2007,2255.01,366.2,25073445.0,False
GRANBY,2008,2265.61,362.20000000000005,34128755.0,False
GRANBY,2009,2204.76,369.1,27848851.0,False
GRANBY,2010,2258.61,360.29999999999995,28313332.0,False
GRANBY,2011,2205.55,367.4,28128240.0,False
GRANBY,2012,2147.51,364.90000000000003,29506830.0,False
GRANBY,2013,2074.46,358.90000000000003,29454150.0,False
GRANBY,2014,2023.62,343.40000000000003,30638153.0,False
GRANBY,2015,1948.03,336.59999999999997,30716490.0,False
GRANBY,2016,1920.62,337.0,31216353.0,False
GREENWICH,2007,8950.959999999997,1473.6999999999998,123286129.0,False
GREENWICH,2008,8945.129999999997,1494.3999999999999,172854916.0,False
GREENWICH,2009,8760.93,1506.3,135519709.0,False
GREENWICH,2010,8712.219999999998,1507.6000000000001,135277746.0,False
GREENWICH,2011,8720.48,1523.5,142077135.0,False
GREENWICH,2012,8715.2,1536.8000000000002,152486555.0,False
GREENWICH,2013,8710.319999999998,1515.1000000000001,155006606.0,False
GREENWICH,2014,8660.629999999997,1517.0000000000005,159830154.0,False
GREENWICH,2015,8674.36,1533.9,164233253.0,False
GREENWICH,2016,8681.7,1506.9,167235645.0,False
GRISWOLD,2007,1978.59,344.6,22792880.0,False
GRISWOLD,2008,1928.54,349.20000000000005,28912467.0,False
GRISWOLD,2009,1941.73,344.5,26080659.0,False
GRISWOLD,2010,1897.24,350.2,26063194.0,False
GRISWOLD,2011,1869.25,335.49999999999994,26324931.0,False
GRISWOLD,2012,1846.13,344.09999999999997,26378099.0,False
GRISWOLD,2013,1835.88,339.1,27317952.0,False
GRISWOLD,2014,1845.23,341.90000000000003,28005356.0,False
GRISWOLD,2015,1776.24,332.40000000000003,27669568.0,False
GRISWOLD,2016,1787.02,351.6,28599440.0,False
GUILFORD,2007,3796.5,578.6,46723393.0,False
GUILFORD,2008,3845.73,584.5000000000001,62540034.0,False
GUILFORD,2009,3789.26,599.5,52451290.0,False
GUILFORD,2010,3733.58,604.0,52600881.0,False
GUILFORD,2011,3706.17,591.8,54070201.0,False
GUILFORD,2012,3684.08,590.1,56963303.0,False
GUILFORD,2013,3605.38,591.5,58751799.0,False
GUILFORD,2014,3559.04,595.3,61781211.0,False
