VName,FYEAR,Payment
Killingly,2012,15225671.0
Killingly,2013,15267223.0
Killingly,2014,15277676.0
Killingly,2015,15266600.0
Killingly,2016,15190552.0
Killingly,2017,15239336.0
Killingly,2018,15267576.0
Lebanon,2004,4361953.0
Lebanon,2005,4495755.0
Lebanon,2006,4653807.0
Lebanon,2007,4684095.0
Lebanon,2008,5222144.0
Lebanon,2009,5380079.0
Lebanon,2010,4636685.0
Lebanon,2011,4664673.0
Lebanon,2012,5467511.0
Lebanon,2013,5548440.0
Lebanon,2014,5558950.0
Lebanon,2015,5509273.0
Lebanon,2016,5476521.0
Lebanon,2017,5420706.0
Lebanon,2018,4707282.0
Ledyard,2004,9903937.0
Ledyard,2005,10230141.0
Ledyard,2006,10497369.0
Ledyard,2007,10538687.0
Ledyard,2008,11536813.0
Ledyard,2009,12021691.0
Ledyard,2010,10287690.0
Ledyard,2011,10293804.0
Ledyard,2012,11940492.0
Ledyard,2013,12134320.0
Ledyard,2014,12136381.0
Ledyard,2015,12124930.0
Ledyard,2016,12163750.0
Ledyard,2017,11970235.0
Ledyard,2018,10386665.0
Lisbon,2004,3210823.0
Lisbon,2005,3352596.0
Lisbon,2006,3453381.0
Lisbon,2007,3471779.0
Lisbon,2008,3744560.0
Lisbon,2009,3891179.0
Lisbon,2010,3344473.0
Lisbon,2011,3349165.0
Lisbon,2012,3901077.0
Lisbon,2013,3915618.0
Lisbon,2014,3934014.0
Lisbon,2015,3921291.0
Lisbon,2016,3896404.0
Lisbon,2017,3524071.0
Lisbon,2018,3067705.0
Litchfield,2004,1042609.0
Litchfield,2005,1112164.0
Litchfield,2006,1139321.0
Litchfield,2007,1149602.0
Litchfield,2008,1419600.0
Litchfield,2009,1435340.0
Litchfield,2010,1248418.0
Litchfield,2011,1269053.0
Litchfield,2012,1475684.0
Litchfield,2013,1502353.0
Litchfield,2014,1513543.0
Litchfield,2015,1502746.0
Litchfield,2016,1526744.0
Litchfield,2017,1450319.0
Litchfield,2018,1245074.0
Madison,2004,948247.0
Madison,2005,1086641.0
Madison,2006,1039937.0
Madison,2007,1110094.0
Madison,2008,1593968.0
Madison,2009,1548274.0
Madison,2010,1267470.0
Madison,2011,1336491.0
Madison,2012,1572993.0
Madison,2013,1562083.0
Madison,2014,1581349.0
Madison,2015,1585276.0
Madison,2016,1577768.0
Madison,2017,444380.0
Madison,2018,369437.0
Manchester,2004,24881428.0
Manchester,2005,25391461.0
Manchester,2006,26247288.0
Manchester,2007,26390128.0
Manchester,2008,29377931.0
Manchester,2009,30448358.0
Manchester,2010,26215847.0
Manchester,2011,26130437.0
Manchester,2012,30644815.0
Manchester,2013,30510211.0
Manchester,2014,30593408.0
Manchester,2015,30550079.0
Manchester,2016,30593874.0
Manchester,2017,30617697.0
Manchester,2018,30372059.0
Meriden,2004,43543685.0
Meriden,2005,44537036.0
Meriden,2006,46331310.0
Meriden,2007,46425260.0
Meriden,2008,50473174.0
Meriden,2009,53177108.0
Meriden,2010,45962958.0
Meriden,2011,46100626.0
Meriden,2012,53784696.0
Meriden,2013,53648710.0
Meriden,2014,53597816.0
Meriden,2015,53436187.0
Meriden,2016,53762573.0
Meriden,2017,53687450.0
Meriden,2018,53584040.0
Middletown,2004,12280668.0
Middletown,2005,12826369.0
Middletown,2006,13484519.0
Middletown,2007,13621805.0
Middletown,2008,15496389.0
Middletown,2009,16488193.0
Middletown,2010,14226643.0
Middletown,2011,14280920.0
Middletown,2012,16663355.0
Middletown,2013,16791289.0
Middletown,2014,17008000.0
Middletown,2015,16756506.0
Middletown,2016,16593361.0
Middletown,2017,16715180.0
Middletown,2018,16499189.0
Milford,2004,9042632.0
Milford,2005,9540439.0
Milford,2006,9828515.0
Milford,2007,9793722.0
Milford,2008,10296397.0
Milford,2009,10752906.0
Milford,2010,9164384.0
Milford,2011,9217739.0
Milford,2012,10731037.0
Milford,2013,11063417.0
Milford,2014,11260198.0
Milford,2015,11411592.0
Milford,2016,11388235.0
Milford,2017,10867536.0
Milford,2018,9266234.0
Monroe,2004,5279429.0
Monroe,2005,5508322.0
Monroe,2006,5650422.0
Monroe,2007,5696181.0
Monroe,2008,6261450.0
Monroe,2009,6497338.0
Monroe,2010,5585156.0
Monroe,2011,5642877.0
Monroe,2012,6570660.0
Monroe,2013,6613210.0
Monroe,2014,6594051.0
Monroe,2015,6677020.0
Monroe,2016,6539105.0
Monroe,2017,6398824.0
Monroe,2018,5596482.0
Montville,2004,10329312.0
Montville,2005,10460652.0
Montville,2006,10769869.0
Montville,2007,10788065.0
Montville,2008,12044453.0
Montville,2009,12584490.0
Montville,2010,10772436.0
Montville,2011,10765031.0
Montville,2012,12570109.0
Montville,2013,12667478.0
Montville,2014,12768535.0
Montville,2015,12787949.0
Montville,2016,12864273.0
Montville,2017,12631589.0
Montville,2018,10997033.0
Naugatuck,2004,24894557.0
Naugatuck,2005,25026059.0
Naugatuck,2006,25724199.0
Naugatuck,2007,25850076.0
Naugatuck,2008,27867535.0
Naugatuck,2009,29086399.0
Naugatuck,2010,24996318.0
Naugatuck,2011,25060397.0
Naugatuck,2012,29210487.0
Naugatuck,2013,29231514.0
Naugatuck,2014,29098004.0
Naugatuck,2015,29250727.0
Naugatuck,2016,29156403.0
Naugatuck,2017,29224812.0
Naugatuck,2018,29186325.0
New Britain,2004,59156962.0
New Britain,2005,60670804.0
New Britain,2006,62658573.0
New Britain,2007,64079306.0
New Britain,2008,69442815.0
New Britain,2009,73168139.0
New Britain,2010,62821236.0
New Britain,2011,62129969.0
New Britain,2012,72337905.0
New Britain,2013,70979028.0
New Britain,2014,72431943.0
New Britain,2015,72431585.0
New Britain,2016,72563658.0
New Britain,2017,72311068.0
New Britain,2018,72339786.0
New Canaan,2004,823103.0
New Canaan,2005,991720.0
New Canaan,2006,1000066.0
New Canaan,2007,1011944.0
New Canaan,2008,1470548.0
New Canaan,2009,1498353.0
New Canaan,2010,1285441.0
New Canaan,2011,1323275.0
New Canaan,2012,1545147.0
New Canaan,2013,1545870.0
New Canaan,2014,1624226.0
New Canaan,2015,1542884.0
New Canaan,2016,1198644.0
New Canaan,2017,372630.0
New Canaan,2018,357804.0
New Fairfield,2004,3725899.0
New Fairfield,2005,3902745.0
New Fairfield,2006,3978250.0
New Fairfield,2007,4000117.0
New Fairfield,2008,4228621.0
New Fairfield,2009,4416820.0
New Fairfield,2010,3787303.0
New Fairfield,2011,3778544.0
New Fairfield,2012,4414505.0
New Fairfield,2013,4463333.0
New Fairfield,2014,4424606.0
New Fairfield,2015,4461430.0
New Fairfield,2016,4443268.0
New Fairfield,2017,4325815.0
New Fairfield,2018,3782872.0
New Haven,2004,123269194.0
New Haven,2005,124190833.0
New Haven,2006,127954358.0
New Haven,2007,128296594.0
New Haven,2008,134383737.0
New Haven,2009,141074791.0
New Haven,2010,121935993.0
New Haven,2011,122048135.0
New Haven,2012,142410001.0
New Haven,2013,142378798.0
New Haven,2014,142476671.0
New Haven,2015,142500250.0
New Haven,2016,142681585.0
New Haven,2017,142450308.0
New Haven,2018,142194717.0
New London,2004,19419205.0
New London,2005,19595858.0
New London,2006,20215691.0
New London,2007,20224178.0
New London,2008,21283462.0
New London,2009,22201285.0
New London,2010,19048332.0
New London,2011,19368248.0
New London,2012,22471192.0
New London,2013,22560586.0
New London,2014,22954799.0
New London,2015,22950538.0
New London,2016,22962679.0
New London,2017,22964864.0
New London,2018,22234384.0
New Milford,2004,10236449.0
New Milford,2005,10510805.0
New Milford,2006,10617176.0
New Milford,2007,10769214.0
New Milford,2008,11432912.0
New Milford,2009,11959748.0
New Milford,2010,10169416.0
New Milford,2011,10202644.0
New Milford,2012,11924662.0
New Milford,2013,12112981.0
New Milford,2014,12035509.0
New Milford,2015,12056908.0
New Milford,2016,12094852.0
New Milford,2017,11773865.0
New Milford,2018,10081582.0
Newington,2004,9383303.0
Newington,2005,9916371.0
Newington,2006,10302435.0
Newington,2007,10394743.0
Newington,2008,12093113.0
Newington,2009,12629330.0
Newington,2010,10846148.0
Newington,2011,10787914.0
Newington,2012,12671585.0
Newington,2013,12901499.0
Newington,2014,12914680.0
Newington,2015,13062892.0
Newington,2016,13161718.0
Newington,2017,12968010.0
Newington,2018,11262873.0
Newtown,2004,3679841.0
Newtown,2005,3863162.0
Newtown,2006,3957423.0
Newtown,2007,4015426.0
Newtown,2008,4175709.0
