City,report_year,FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
DEEP RIVER,2011,211.1,False,9820587.0,2492650.0,653.4
DEEP RIVER,2012,212.3,False,10717646.0,2928640.0,648.0
DEEP RIVER,2013,209.4,False,10720924.0,3307898.0,656.0
DEEP RIVER,2014,207.5,False,11206997.0,2740359.0,644.6
DEEP RIVER,2015,200.9,False,11549813.0,2819743.0,637.6
DEEP RIVER,2016,196.2,False,11812374.0,2987550.0,624.4
DERBY,2007,216.7,False,17635611.0,11443333.0,1560.34
DERBY,2008,234.0,False,23663301.0,17123121.0,1553.87
DERBY,2009,222.5,False,19873813.0,12310056.0,1568.98
DERBY,2010,213.1,True,20036381.0,12218692.0,1580.69
DERBY,2011,222.4,True,20527006.0,11958531.0,1590.32
DERBY,2012,220.7,True,18898160.0,11842416.0,1572.45
DERBY,2013,225.2,False,19314326.0,13667576.0,1613.19
DERBY,2014,248.1,False,20697007.0,13542428.0,1632.89
DERBY,2015,256.29999999999995,False,22108184.0,14130654.0,1587.76
DERBY,2016,261.8,True,23611655.0,15541595.0,1544.6
EAST GRANBY,2007,147.1,False,11079224.0,2281403.0,938.26
EAST GRANBY,2008,151.50000000000003,False,11887509.0,2764573.0,923.89
EAST GRANBY,2009,149.9,False,12449844.0,2779190.0,906.36
EAST GRANBY,2010,150.79999999999995,False,12761001.0,2402943.0,939.07
EAST GRANBY,2011,160.4,False,12993868.0,2619515.0,923.78
EAST GRANBY,2012,160.4,False,13237128.0,2825510.0,890.4
EAST GRANBY,2013,160.4,False,13829200.0,2895160.0,901.36
EAST GRANBY,2014,157.9,False,14282030.0,2864532.0,921.4
EAST GRANBY,2015,160.2,False,15013695.0,2977079.0,923.01
EAST GRANBY,2016,170.3,False,15333060.0,2989198.0,906.8
EAST HAMPTON,2007,310.6,False,23441786.0,9993098.0,2112.58
EAST HAMPTON,2008,323.8,False,32650534.0,18124172.0,2085.2
EAST HAMPTON,2009,343.9,False,27066537.0,11503080.0,2066.07
EAST HAMPTON,2010,336.4,False,27509315.0,11353306.0,2040.47
EAST HAMPTON,2011,338.8,False,28545580.0,11369957.0,2004.01
EAST HAMPTON,2012,330.3,False,29238599.0,11601455.0,1996.51
EAST HAMPTON,2013,321.0,False,29894213.0,11747385.0,1970.9
EAST HAMPTON,2014,320.6,False,31395954.0,12505757.0,1987.41
EAST HAMPTON,2015,308.0,False,31336281.0,11634584.0,1942.04
EAST HAMPTON,2016,298.9,False,31881405.0,11433052.0,1984.02
EAST HARTFORD,2007,1232.9,False,84427000.0,48844000.0,8356.85
EAST HARTFORD,2008,1241.0,False,114773000.0,79733000.0,8062.01
EAST HARTFORD,2009,1270.1,False,92242000.0,57601000.0,7917.59
EAST HARTFORD,2010,1226.1,False,84284000.0,51585000.0,8009.39
EAST HARTFORD,2011,1240.2,False,89434000.0,51565000.0,8027.42
EAST HARTFORD,2012,1243.5000000000002,False,97696000.0,60641000.0,8141.51
EAST HARTFORD,2013,1253.9,False,100759000.0,59947000.0,8035.22
EAST HARTFORD,2014,1271.5000000000002,False,107307000.0,63834000.0,8165.149999999998
EAST HARTFORD,2015,1349.5,False,103700000.0,64424000.0,8160.66
EAST HARTFORD,2016,1356.9,False,106475000.0,66149000.0,8092.09
EAST HAVEN,2007,570.8,False,42210468.0,23552235.0,3932.63
EAST HAVEN,2008,561.9,False,52792124.0,33042178.0,3888.36
EAST HAVEN,2009,564.3,False,47501312.0,26567280.0,3810.03
EAST HAVEN,2010,557.9,False,44137267.0,22884200.0,3803.24
EAST HAVEN,2011,500.4,False,43749500.0,22486788.0,3774.85
EAST HAVEN,2012,479.80000000000007,False,48339563.0,26415418.0,3674.27
EAST HAVEN,2013,457.0,False,48455006.0,26362443.0,3641.21
EAST HAVEN,2014,497.4,False,50428317.0,26530783.0,3476.63
EAST HAVEN,2015,543.3,False,50447708.0,25756092.0,3375.94
EAST HAVEN,2016,515.8,False,52743757.0,26073319.0,3414.38
EAST LYME,2007,535.1999999999998,False,38111914.0,10439767.0,2992.91
EAST LYME,2008,523.1,False,40271673.0,11736954.0,3026.43
EAST LYME,2009,500.9,False,42299028.0,12748779.0,2934.53
EAST LYME,2010,525.0,False,41427641.0,11178281.0,2878.61
EAST LYME,2011,571.5,False,43090693.0,11012922.0,2878.75
EAST LYME,2012,523.8999999999999,False,45459821.0,13081658.0,2784.26
EAST LYME,2013,524.5999999999998,False,46632038.0,13148147.0,2735.37
EAST LYME,2014,538.5,False,48126767.0,14329374.0,2690.14
EAST LYME,2015,564.9,False,49709355.0,14231113.0,2648.39
EAST LYME,2016,554.5999999999998,False,50487799.0,14377198.0,2615.95
EAST WINDSOR,2007,231.9,False,17052072.0,6984588.0,1613.36
EAST WINDSOR,2008,231.50000000000003,False,23401901.0,12388137.0,1560.67
EAST WINDSOR,2009,240.1,False,20760869.0,8607535.0,1525.81
EAST WINDSOR,2010,193.9,False,19351289.0,7305528.0,1475.86
EAST WINDSOR,2011,225.50000000000003,False,20522588.0,7273015.0,1396.21
EAST WINDSOR,2012,123.2,True,21503161.0,8420974.0,1369.13
EAST WINDSOR,2013,229.7,False,22517698.0,8842174.0,1364.33
EAST WINDSOR,2014,227.0,False,23072375.0,8810002.0,1305.46
EAST WINDSOR,2015,238.0,False,23299723.0,8983491.0,1257.37
EAST WINDSOR,2016,245.0,False,24287205.0,8686073.0,1203.41
EASTFORD,2007,30.8,False,3445577.0,1436166.0,269.87
